245$a|245$b|245$c|100$a|490$v|260$c|856$u
"Is this journalism?"|"a study of whether the snapshots on the front page of USA Today adhere to journalistic standards /"|"by Emily Arnette Vines."|"Vines, Emily Arnette,"|"2002."|"2002]"|"http://etd.lsu.edu/docs/available/etd-0415102-075822/"
"Quantification of the spatial gradient of local volume fraction from tomography images"||"by Yongping Wang."|"Wang, Yongping."|"2002."|"2002]"|"http://etd.lsu.edu/docs/available/etd-0417102-151129/"
"Improving the design of golf course communities as wildlife habitats"||"by Jason R. Watton."|"Watton, Jason R.,"|"2002."|"2002]"|"http://etd.lsu.edu/docs/available/etd-0411102-155836/"
"The Chemistry of Change"|"a production thesis in directing /"|"by Anthony Greenleaf Winkler."|"Winkler, Anthony Greenleaf."|"2002."|"2002]"|"http://etd.lsu.edu/docs/available/etd-0318102-121917/"
"Wash"||"by Karin Eberhardt Watts."|"Watts, Karin Eberhardt,"|"2002."|"2002]"|"http://etd.lsu.edu/docs/available/etd-0416102-085340/"
"Evaluation of Bacillus thuringiensis transgenic field corn for management of Louisiana corn pests"||"by Boris A. Castro."|"Castro, Boris A."|"2002"|"2002]"|"http://etd.lsu.edu/docs/available/etd-0414102-023909/"
"Development of a micro power relay with static electrical actuator"||"by Ren Yang."|"Yang, Ren,"|"2002."|"2002]"|"http://etd.lsu.edu/docs/available/etd-0408102-211030/"
"The effect of nocturnal sampling on semen quality and the efficiency of collection in bovine species"||"by Jennifer H. Yates."|"Yates, Jennifer H.,"|"2002."|"2002]"|"http://etd.lsu.edu/docs/available/etd-0415102-205738/"
"The Greek sophists :"|"teachers of virtue"|"by David Dwyer Corey."|"Corey, David Dwyer."|"2002"|"2002]"|"http://etd.lsu.edu/docs/available/etd-0415102-173827/"
"Stefan Zweig and Russia"||"by Lidia Zhigunova."|"Zhigunova, Lidia,"|"2002."|"2002]"|"http://etd.lsu.edu/docs/available/etd-0416102-171159/"
"The relationship between perceived leader behavior and alcohol consumption among university students who are members of social fraternities"||"by Joe Randy Gurie."|"Gurie, Joe Randy."|"2002"|"2002]"|"http://etd.lsu.edu/docs/available/etd-0417102-201343/"
"On the stabilization and regularization of rational approximation schemes for semigroups"||"by Simone Flory."|"Flory, Simone,"|"2002"|"2002]"|"http://etd.lsu.edu/docs/available/etd-0404102-183420/"
"Prelude to a text :"|"the autobiography of Abdelkebir Khatibi"|"by Ruth Louise Gaertner."|"Gaertner, Ruth Louise,"|"2002"|"2002]"|"http://etd.lsu.edu/docs/available/etd-0416102-005632/"
"Improvement of resonant harmonic filter effectiveness in the presence of distribution voltage distortion"||"by Herbert L. Ginn, III."|"Ginn, Herbert L.,"|"2002"|"2002]"|"http://etd.lsu.edu/docs/available/etd-0415102-213609/"
"Alban Berg's filmic music"|"intentions and extensions of the Film Music Interlude in the Opera Lula /"|"by Melissa Ursula Dawn Goldsmith."|"Goldsmith, Melissa Ursula Dawn."|"2002"|"2002]"|"http://etd.lsu.edu/docs/available/etd-0415102-110441/"
"A study of the effect of multisensory writing instruction on the written expression of the dyslexic elementary child"||"by Carolyn W. Gore."|"Gore, Carolyn W."|"2002"|"2002]"|"http://etd.lsu.edu/docs/available/etd-0404102-210501/"
"Bollworm (Lepidoptera: noctuidae) ecology on genetically engineered Bollgard and Bollgard II cottons"||"by Jeffrey Gore."|"Gore, Jeffrey,"|"2002"|"2002]"|"http://etd.lsu.edu/docs/available/etd-0315102-090113/"
"The effects of local hydrodynamics on mass transfer in disordered porous media"||"by Gang Guo."|"Guo, Gang,"|"2002"|"2002]"|"http://etd.lsu.edu/docs/available/etd-0416102-214517/"
"""Uncouth Shapes"" and sublime human forms of Wordsworth's The Prelude in the ligh of Berdyaev's personalistic philosophy of freedom"||"by Elena V. Haltrin Khalturina."|"Haltrin Khalturina, Elena V.,"|"2002"|"2002]"|"http://etd.lsu.edu/docs/available/etd-0328102-102651/"
"Christio-Conjure in Voodoo dreams, Baby of the family, The salt eaters, Sassafrass, Cypress & Indigo, and Mama Day"||"by Laura Sams Haynes."|"Haynes, Laura Sams."|"2002"|"2002]"|"http://etd.lsu.edu/docs/available/etd-0414102-144220/"
"Scientific and management perspectives in wetland groundwater hydrology"||"by Lorna Veronica Inniss."|"Inniss, Lorna Veronica,"|"2002"|"2002]"|"http://etd.lsu.edu/docs/available/etd-0408102-073903/"
"Log-derived cation exchange capacity of shaly sands :"|"application to hydrocarbon detection and drilling optimization"|"by Gamze Ipek."|"Ipek, Gamze."|"2002"|"2002]"|"http://etd.lsu.edu/docs/available/etd-0409102-114305/"
"The sound of meaning"|"theories of voice in twentieth-century thought and performance /"|"by Andrew McComb Kimbrough."|"Kimbrough, Andrew McComb."|"2002"|"2002]"|"http://etd.lsu.edu/docs/available/etd-0405102-074904/"
"Vagal modulation of the heart and central hemodynamics during dynamic handgrip exercise and forearm occlusion following forearm exercise training"||"by Heidi A. Kluess."|"Kluess, Heidi A."|"2002"|"2002]"|"http://etd.lsu.edu/docs/available/etd-0415102-154118/"
"The role of cysteine 230 and lysine 238 of biotin carboxylase in the deprotonation of biotin and synthesis of bisubstrate analogy inhibitor of carboxyltransferase"||"by Keith Logan Levert."|"Levert, Keith Logan,"|"2002"|"2002]"|"http://etd.lsu.edu/docs/available/etd-0416102-152847/"
"Critical performative pedagogy :"|"Augusto Boal's Theatre of the oppressed in the English as a second language classroom"|"by Ross McKeehen Louis."|"Louis, Ross McKeehen."|"2002"|"2002]"|"http://etd.lsu.edu/docs/available/etd-0413102-182717/"
"A stylistic and analytical study of Concerto No.2 for Piano and Orchestra, Op.33, by Lee Hoiby"||"by Ji-Won Mun."|"Mun, Ji-Won."|"2002"|"2002]"|"http://etd.lsu.edu/docs/available/etd-0412102-204633/"
"Essays on the Bayesian inequality restricted estimation"||"by Asli K. Ogunc."|"Ogunc, Asli K."|"2002"|"2002]"|"http://etd.lsu.edu/docs/available/etd-0406102-033213/"
"Essays on endowment fund management"||"by Kurtay N. Ogunc."|"Ogunc, Kurtay N."|"2002"|"2002]"|"http://etd.lsu.edu/docs/available/etd-0415102-025627/"
"Spatial models of Hawaiian streams and Hawaiian stream fish habital"||"by James Elliot Parham."|"Parham, James Elliott."|"2002"|"2002]"|"http://etd.lsu.edu/docs/available/etd-0419102-000538/"
"Hydrodynamics and freshwater diversion within Barataria Basin"||"by Dongho Park."|"Park, Dongho,"|"2002"|"2002]"|"http://etd.lsu.edu/docs/available/etd-0515102-153007/"
"The post-translational methylation of arginine in the glycine arginine rich region of CHO nucleoin"||"by Gregory James Pellar."|"Pellar, Gregory James."|"2002"|"2002]"|"http://etd.lsu.edu/docs/available/etd-0415102-111547/"
"The relationship between author and audience"|"case study of a young-adult author and a student audience /"|"by Keitha Ilene Phares."|"Phares, Keitha Ilene."|"2002"|"2002]"|"http://etd.lsu.edu/docs/available/etd-0327102-091522/"
"An introduction to American song composer Daron Aric Hagen (b.1961) and his miniature folk opera"|"Dear Youth /"|"by Jane McCalla Redding."|"Redding, Jane McCalla,"|"2002"|"2002]"|"http://etd.lsu.edu/docs/available/etd-0220102-223805/"
"Production of transgenic goats by somatic cell nuclear transfer"||"by Brett C. Reggio."|"Reggio, Brett C.,"|"2002"|"2002]"|"http://etd.lsu.edu/docs/available/etd-0411102-044045/"
"Timber, trade, and transformation"|"a historical geography of mahogany in Honduras /"|"by Craig Stephen Revels."|"Revels, Craig Stephen,"|"2002"|"2002]"|"http://etd.lsu.edu/docs/available/etd-0418102-132925/"
"Northern pintail nest site selection, nest success, renesting ecology and survival in the intensively farmed prairies of southern Saskatchewan"|"an evaluation of the ecological trap hypothesis /"|"by Kenneth Daniel Richkus."|"Richkus, Kenneth Daniel,"|"2002"|"2002]"|"http://etd.lsu.edu/docs/available/etd-0405102-133349/"
"The effects of strategic corporate philanthropy on consumer perceptions"|"an experimental assessment  /"|"by Joe M. Ricks, Jr."|"Ricks, Joe M.,"|"2002"|"2002]"|"http://etd.lsu.edu/docs/available/etd-0401102-165849/"
"Clear-cutting eden"|"representations of nature in Southern fiction, 1930-1950 /"|"by Christopher B. Rieger."|"Rieger, Christopher B."|"2002"|"2002]"|"http://etd.lsu.edu/docs/available/etd-0417102-220244/"
"American transcendental vision"|"Emerson to Chaplin /"|"by Bill R. Scalia."|"Scalia, Bill R.,"|"2002"|"2002]"|"http://etd.lsu.edu/docs/available/etd-0417102-215906/"
"Communication characterizing successful long distance marriages"||"by Andrea Towers Scott."|"Scott, Andrea Towers."|"2002"|"2002]"|"http://etd.lsu.edu/docs/available/etd-0416102-172102/"
"Aspects of cognition in human mate selection"||"by Michael J. Stasio."|"Stasio, Michael J."|"2002"|"2002]"|"http://etd.lsu.edu/docs/available/etd-0415102-111440/"
"Nonlinear dynamics in nuclear structure"||"by Guergana Stoitcheva."|"Stoitcheva, Guergana S."|"2002"|"2002]"|"http://etd.lsu.edu/docs/available/etd-0324102-225153/"
"Factors which influence faculty attitudes and perceptions of distance education in analytical subject areas"||"by Jeffrey G. Sumrall."|"Sumrall, Jeffry G.,"|"2002"|"2002]"|"http://etd.lsu.edu/docs/available/etd-0416102-142714/"
"Screening and characterization of pathogenic fungi for possible control of Coptotermes formosanus"||"by Jianzhong Sun."|"Sun, Jianzhong,"|"2002"|"2002]"|"http://etd.lsu.edu/docs/available/etd-0415102-230223/"
"Thermal rheological analysis of cure process of epoxy prepreg"||"by Liangfeng Sun."|"Sun, Liangfeng,"|"2002"|"2002]"|"http://etd.lsu.edu/docs/available/etd-0412102-135248/"
"An analysis of student collaboration and task completion through project based learning in a web-supported undergraduate course"||"by William Randall Thomas."|"Thomas, William Randall,"|"2002"|"2002]"|"http://etd.lsu.edu/docs/available/etd-0418102-000316/"
"Capillary and microdevice electrophoretic tools for genetic analyses"|"heteroduplex analysis for tuberculosis drug susceptibility and ligase detection reaction for colorectal cancer detection /"|"by Gloria Thomas."|"Thomas, Gloria A."|"2002"|"2002]"|"http://etd.lsu.edu/docs/available/etd-0416102-191921/"
"Relationship between neuropsychological deficits and cerebral perfusion abnormalities in cocaine abusers"||"by Karen A. Tucker."|"Tucker, Karen A."|"2002"|"2002]"|"http://etd.lsu.edu/docs/available/etd-0417102-054620/"
"Cementitious stabilization of soils in the presence of sulfate"||"by Lan Wang."|"Wang, Lan,"|"2002"|"2002]"|"http://etd.lsu.edu/docs/available/etd-0409102-112238/"
"No place to die"|"the poetics of roadside sacred places in Mexico /"|"by Daniel Raymond Weir."|"Weir, Daniel Raymond."|"2002"|"2002]"|"http://etd.lsu.edu/docs/available/etd-0403102-215300/"
"An analysis of the effects of contingent delivery of tasks with different difficulty and noncontingent delivery of tasks with different preference"||"by Ernest Whitmarsh."|"Whitmarsh, Ernest,"|"2002"|"2002]"|"http://etd.lsu.edu/docs/available/etd-0411102-154714/"
"Subversive aspects of American musical theatre"||"by Donald Elgan Whittaker, III."|"Whittaker, Donald Elgan,"|"2002"|"2002]"|"http://etd.lsu.edu/docs/available/etd-0418102-173116/"
"Mexican women and migration"|"the effects of education and family status /"|"by Veronica Cuartas Aravena."|"Aravena, Veronica Cuartas,"|"2002."|"2002]"|"http://etd.lsu.edu/docs/available/etd-0419102-100900/"
"The imaginary sculpture of Matthew Barney"||"by Rosalie Claire Benitez."|"Benitez, Rosalie Claire."|"2002."|"2002]"|"http://etd.lsu.edu/docs/available/etd-0416102-184739/"
"Antipredator conditioning in Mississippi Sandhill Cranes (Grus canadensis pulla)"||"by Jennifer Jill Heatley."|"Heatley, Jennifer Jill,"|"2002."|"2002]"|"http://etd.lsu.edu/docs/available/etd-0419102-102014/"
"The practical application of art and technology"|"delivering interactive educational content to young children /"|"by Elma Sue McCallum."|"McCallum, Elma Sue,"|"2002."|"2002]"|"http://etd.lsu.edu/docs/available/etd-0411102-162551/"
"The American and South Vietnamese pacification efforts during the Vietnam War"||"by Matthew D. Pinard."|"Pinard, Matthew D.,"|"2002."|"2002]"|"http://etd.lsu.edu/docs/available/etd-0419102-103048/"
"The works of Manuel Quiroga"|"a catalogue /"|"by Ana Luque Fernández."|"Luque Fernández, Ana."|"2002"|"2002]"|"http://etd.lsu.edu/docs/available/etd-1205101-103814/"
"Audience and the African American playwright :"|"an analysis of the importance of audience selection and audience response on the dramaturgies of August Wilson and Ed Bullins"|"by Ladrica C. Menson-Furr."|"Menson-Furr, Ladrica C."|"2002"|"2002]"|"http://etd.lsu.edu/docs/available/etd-0131102-135337/"
"Nutrient profile, functional properties, and microstructure of dried waste milk products for use as a potential animal feed"||"by Ronald I Thompson."|"Thompson, Ronald I."|"2002"|"2002]"|"http://etd.lsu.edu/docs/available/etd-0124102-121448/"
"Characteristic avifauna of white-sand forests in Northern Peruvian Amazonia"||"by José Alvarez Alonso."|"Alvarez Alonso, José,"|"2002."|"2002]"|"http://etd.lsu.edu/docs/available/etd-0703102-120155/"
"Nutrient reserves of lesser scaup during spring migration in the Mississippi Flyway"|"a test of the spring condition hypothesis /"|"by Michael J. Anteau."|"Anteau, Michael J.,"|"2002."|"2002]"|"http://etd.lsu.edu/docs/available/etd-0707102-155816/"
"Aisthetic eros and Athenian political crisis"|"an interpretation of Plato's Seventh Letter /"|"by John David Baltes."|"Baltes, John David."|"2002."|"2002]"|"http://etd.lsu.edu/docs/available/etd-0709102-153856/"
"Treatment of organic and inorganic pollutants in municipal wastewater by agricultural by-product based granular activated carbons (GAC)"||"by Rishipal Rastrapal Bansode."|"Bansode, Rishipal Rastrapal."|"2002."|"2002]"|"http://etd.lsu.edu/docs/available/etd-0710102-160806/"
"Wavelength assignment in all-optical networks for mesh topologies"||"by Prabhulaiah Bijja."|"Bijja, Prabhulaiah."|"2002."|"2002]"|"http://etd.lsu.edu/docs/available/etd-0712102-093702/"
"Modeling adsorption of cane sugar colorant in packed-bed ion exchangers"||"by Hugh Anthony Broadhurst."|"Broadhurst, Hugh Anthony."|"2002."|"2002]"|"http://etd.lsu.edu/docs/available/etd-0708102-145931/"
"The New Orleans press-radio war and Huey P. Long, 1922-1936"||"by Brian David Collins."|"Collins, Brian David,"|"2002."|"2002]"|"http://etd.lsu.edu/docs/available/etd-0711102-133745/"
"The effects of oryzanol on bone mineral density in ovariectomized, retired breeder rats"||"by Heather Compton Colona."|"Colona, Heather Compton,"|"2002."|"2002]"|"http://etd.lsu.edu/docs/available/etd-0710102-160310/"
"Approaches to measuring the frequency of achondroplasia and hypochondroplasia causing FGFR-3 mutations in human sperm"||"by Andrew T. Daters."|"Daters, Andrew T.,"|"2002."|"2002]"|"http://etd.lsu.edu/docs/available/etd-0708102-111113/"
"Intrinsic biodegradation potential of crude oil in salt marshes"||"by Julius Enock."|"Enock, Julius,"|"2002."|"2002]"|"http://etd.lsu.edu/docs/available/etd-0701102-111853/"
"Body and soul"|"food, the female (in) corporeal, and the narrative effects of mind/body duality /"|"by Andrea Adolph."|"Adolph, Andrea."|"2002"|"2002]"|"http://etd.lsu.edu/docs/available/etd-0701102-160130/"
"Sedimentology and stratigraphy of the Upper Cretaceous-Paleocene El Molino Formation, Eastern Cordillera and Altiplano, Central Andes, Bolivia"|"implications for the tectonic development of the Central Andes /"|"by Richard John Fink."|"Fink, Richard John,"|"2002."|"2002]"|"http://etd.lsu.edu/docs/available/etd-0619102-182614/"
"Transverse (Harris) lines in the tibiae of a prehistoric Costa Rican population"||"Kelly E. Gillis."|"Gillis, Kelly E.,"|"2002."|"2002]"|"http://etd.lsu.edu/docs/available/etd-0711102-080847/"
"Clinical and diagnostic evidence of two distinct sialodacryoadenitis virus outbreaks"||"by Marie C. Grant."|"Grant, Marie C."|"2002."|"2002]"|"http://etd.lsu.edu/docs/available/etd-0711102-124445/"
"The effects of Internet guided practice with aural modeling on the sight-singing accuracy of elementary education majors"||"by Jessica L. Hall."|"Hall, Jessica L."|"2002."|"2002]"|"http://etd.lsu.edu/docs/available/etd-0710102-150954/"
